scenario_id,event_id,timestamp,profile_id,threshold_offset,baseline_state,variant_state,state_changed,previous_variant_state,E_t,A_t,I_t,M_t,U_t,C_t,theta_A,theta_E,theta_I,theta_U,theta_N,theta_L,tau_E_hours,rationale
ghost_logger,EVT-GL-002H,2026-09-12T10:00:00Z,threshold_minus_0_10,-0.1,Document No-Report,Document No-Report,False,,0.85,0.1,0.75,0.0,0.0,False,0.6,0.6,0.6,0.4,0.1,0.1,18.0,Applicability and uncertainty are both low under the prototype thresholds; preserve the rationale for review.
ghost_logger,EVT-GL-010H,2026-09-12T18:00:00Z,threshold_minus_0_10,-0.1,Escalate,Escalate,False,Document No-Report,0.85,1.0,0.75,0.0,0.0,True,0.6,0.6,0.6,0.4,0.1,0.1,18.0,Active evidence claims conflict; conflict precedence forces internal escalation.
ghost_logger,EVT-GL-014H,2026-09-12T22:00:00Z,threshold_minus_0_10,-0.1,Report-Ready,Report-Ready,False,Escalate,0.85,1.0,0.75,0.0,0.0,False,0.6,0.6,0.6,0.4,0.1,0.1,18.0,"Applicability, exploitation evidence, and impact meet the prototype thresholds; human review is required."
ghost_logger,EVT-GL-020H,2026-09-13T04:00:00Z,threshold_minus_0_10,-0.1,Report-Ready,Report-Ready,False,Report-Ready,0.85,1.0,0.75,0.0,0.0,False,0.6,0.6,0.6,0.4,0.1,0.1,18.0,"Applicability, exploitation evidence, and impact meet the prototype thresholds; human review is required."
ghost_logger,EVT-GL-072H,2026-09-15T08:00:00Z,threshold_minus_0_10,-0.1,Report-Ready,Report-Ready,False,Report-Ready,0.85,1.0,0.75,1.0,0.0,False,0.6,0.6,0.6,0.4,0.1,0.1,18.0,"Applicability, exploitation evidence, and impact meet the prototype thresholds; human review is required."
ghost_logger,EVT-GL-002H,2026-09-12T10:00:00Z,threshold_minus_0_05,-0.05,Document No-Report,Document No-Report,False,,0.85,0.1,0.75,0.0,0.0,False,0.65,0.65,0.65,0.45,0.15,0.15,18.0,Applicability and uncertainty are both low under the prototype thresholds; preserve the rationale for review.
ghost_logger,EVT-GL-010H,2026-09-12T18:00:00Z,threshold_minus_0_05,-0.05,Escalate,Escalate,False,Document No-Report,0.85,1.0,0.75,0.0,0.0,True,0.65,0.65,0.65,0.45,0.15,0.15,18.0,Active evidence claims conflict; conflict precedence forces internal escalation.
ghost_logger,EVT-GL-014H,2026-09-12T22:00:00Z,threshold_minus_0_05,-0.05,Report-Ready,Report-Ready,False,Escalate,0.85,1.0,0.75,0.0,0.0,False,0.65,0.65,0.65,0.45,0.15,0.15,18.0,"Applicability, exploitation evidence, and impact meet the prototype thresholds; human review is required."
ghost_logger,EVT-GL-020H,2026-09-13T04:00:00Z,threshold_minus_0_05,-0.05,Report-Ready,Report-Ready,False,Report-Ready,0.85,1.0,0.75,0.0,0.0,False,0.65,0.65,0.65,0.45,0.15,0.15,18.0,"Applicability, exploitation evidence, and impact meet the prototype thresholds; human review is required."
ghost_logger,EVT-GL-072H,2026-09-15T08:00:00Z,threshold_minus_0_05,-0.05,Report-Ready,Report-Ready,False,Report-Ready,0.85,1.0,0.75,1.0,0.0,False,0.65,0.65,0.65,0.45,0.15,0.15,18.0,"Applicability, exploitation evidence, and impact meet the prototype thresholds; human review is required."
ghost_logger,EVT-GL-002H,2026-09-12T10:00:00Z,threshold_baseline,0.0,Document No-Report,Document No-Report,False,,0.85,0.1,0.75,0.0,0.0,False,0.7,0.7,0.7,0.5,0.2,0.2,18.0,Applicability and uncertainty are both low under the prototype thresholds; preserve the rationale for review.
ghost_logger,EVT-GL-010H,2026-09-12T18:00:00Z,threshold_baseline,0.0,Escalate,Escalate,False,Document No-Report,0.85,1.0,0.75,0.0,0.0,True,0.7,0.7,0.7,0.5,0.2,0.2,18.0,Active evidence claims conflict; conflict precedence forces internal escalation.
ghost_logger,EVT-GL-014H,2026-09-12T22:00:00Z,threshold_baseline,0.0,Report-Ready,Report-Ready,False,Escalate,0.85,1.0,0.75,0.0,0.0,False,0.7,0.7,0.7,0.5,0.2,0.2,18.0,"Applicability, exploitation evidence, and impact meet the prototype thresholds; human review is required."
ghost_logger,EVT-GL-020H,2026-09-13T04:00:00Z,threshold_baseline,0.0,Report-Ready,Report-Ready,False,Report-Ready,0.85,1.0,0.75,0.0,0.0,False,0.7,0.7,0.7,0.5,0.2,0.2,18.0,"Applicability, exploitation evidence, and impact meet the prototype thresholds; human review is required."
ghost_logger,EVT-GL-072H,2026-09-15T08:00:00Z,threshold_baseline,0.0,Report-Ready,Report-Ready,False,Report-Ready,0.85,1.0,0.75,1.0,0.0,False,0.7,0.7,0.7,0.5,0.2,0.2,18.0,"Applicability, exploitation evidence, and impact meet the prototype thresholds; human review is required."
ghost_logger,EVT-GL-002H,2026-09-12T10:00:00Z,threshold_plus_0_05,0.05,Document No-Report,Document No-Report,False,,0.85,0.1,0.75,0.0,0.0,False,0.75,0.75,0.75,0.55,0.25,0.25,18.0,Applicability and uncertainty are both low under the prototype thresholds; preserve the rationale for review.
ghost_logger,EVT-GL-010H,2026-09-12T18:00:00Z,threshold_plus_0_05,0.05,Escalate,Escalate,False,Document No-Report,0.85,1.0,0.75,0.0,0.0,True,0.75,0.75,0.75,0.55,0.25,0.25,18.0,Active evidence claims conflict; conflict precedence forces internal escalation.
ghost_logger,EVT-GL-014H,2026-09-12T22:00:00Z,threshold_plus_0_05,0.05,Report-Ready,Report-Ready,False,Escalate,0.85,1.0,0.75,0.0,0.0,False,0.75,0.75,0.75,0.55,0.25,0.25,18.0,"Applicability, exploitation evidence, and impact meet the prototype thresholds; human review is required."
ghost_logger,EVT-GL-020H,2026-09-13T04:00:00Z,threshold_plus_0_05,0.05,Report-Ready,Report-Ready,False,Report-Ready,0.85,1.0,0.75,0.0,0.0,False,0.75,0.75,0.75,0.55,0.25,0.25,18.0,"Applicability, exploitation evidence, and impact meet the prototype thresholds; human review is required."
ghost_logger,EVT-GL-072H,2026-09-15T08:00:00Z,threshold_plus_0_05,0.05,Report-Ready,Report-Ready,False,Report-Ready,0.85,1.0,0.75,1.0,0.0,False,0.75,0.75,0.75,0.55,0.25,0.25,18.0,"Applicability, exploitation evidence, and impact meet the prototype thresholds; human review is required."
ghost_logger,EVT-GL-002H,2026-09-12T10:00:00Z,threshold_plus_0_10,0.1,Document No-Report,Document No-Report,False,,0.85,0.1,0.75,0.0,0.0,False,0.8,0.8,0.8,0.6,0.3,0.3,18.0,Applicability and uncertainty are both low under the prototype thresholds; preserve the rationale for review.
ghost_logger,EVT-GL-010H,2026-09-12T18:00:00Z,threshold_plus_0_10,0.1,Escalate,Escalate,False,Document No-Report,0.85,1.0,0.75,0.0,0.0,True,0.8,0.8,0.8,0.6,0.3,0.3,18.0,Active evidence claims conflict; conflict precedence forces internal escalation.
ghost_logger,EVT-GL-014H,2026-09-12T22:00:00Z,threshold_plus_0_10,0.1,Report-Ready,Monitor,True,Escalate,0.85,1.0,0.75,0.0,0.0,False,0.8,0.8,0.8,0.6,0.3,0.3,18.0,No higher-precedence transition rule is satisfied.
ghost_logger,EVT-GL-020H,2026-09-13T04:00:00Z,threshold_plus_0_10,0.1,Report-Ready,Monitor,True,Monitor,0.85,1.0,0.75,0.0,0.0,False,0.8,0.8,0.8,0.6,0.3,0.3,18.0,No higher-precedence transition rule is satisfied.
ghost_logger,EVT-GL-072H,2026-09-15T08:00:00Z,threshold_plus_0_10,0.1,Report-Ready,Monitor,True,Monitor,0.85,1.0,0.75,1.0,0.0,False,0.8,0.8,0.8,0.6,0.3,0.3,18.0,No higher-precedence transition rule is satisfied.
false_comfort,EVT-FC-002H,2026-10-01T10:00:00Z,threshold_minus_0_10,-0.1,Monitor,Report-Ready,True,,0.85,0.6,0.75,0.0,0.0,False,0.6,0.6,0.6,0.4,0.1,0.1,18.0,"Applicability, exploitation evidence, and impact meet the prototype thresholds; human review is required."
false_comfort,EVT-FC-008H,2026-10-01T16:00:00Z,threshold_minus_0_10,-0.1,Report-Ready,Report-Ready,False,Report-Ready,0.85,1.0,0.75,0.0,0.0,False,0.6,0.6,0.6,0.4,0.1,0.1,18.0,"Applicability, exploitation evidence, and impact meet the prototype thresholds; human review is required."
false_comfort,EVT-FC-012H,2026-10-01T20:00:00Z,threshold_minus_0_10,-0.1,Report-Ready,Report-Ready,False,Report-Ready,0.85,1.0,0.75,0.0,0.0,False,0.6,0.6,0.6,0.4,0.1,0.1,18.0,"Applicability, exploitation evidence, and impact meet the prototype thresholds; human review is required."
false_comfort,EVT-FC-072H,2026-10-04T08:00:00Z,threshold_minus_0_10,-0.1,Report-Ready,Report-Ready,False,Report-Ready,0.85,1.0,0.75,1.0,0.0,False,0.6,0.6,0.6,0.4,0.1,0.1,18.0,"Applicability, exploitation evidence, and impact meet the prototype thresholds; human review is required."
false_comfort,EVT-FC-002H,2026-10-01T10:00:00Z,threshold_minus_0_05,-0.05,Monitor,Monitor,False,,0.85,0.6,0.75,0.0,0.0,False,0.65,0.65,0.65,0.45,0.15,0.15,18.0,No higher-precedence transition rule is satisfied.
false_comfort,EVT-FC-008H,2026-10-01T16:00:00Z,threshold_minus_0_05,-0.05,Report-Ready,Report-Ready,False,Monitor,0.85,1.0,0.75,0.0,0.0,False,0.65,0.65,0.65,0.45,0.15,0.15,18.0,"Applicability, exploitation evidence, and impact meet the prototype thresholds; human review is required."
false_comfort,EVT-FC-012H,2026-10-01T20:00:00Z,threshold_minus_0_05,-0.05,Report-Ready,Report-Ready,False,Report-Ready,0.85,1.0,0.75,0.0,0.0,False,0.65,0.65,0.65,0.45,0.15,0.15,18.0,"Applicability, exploitation evidence, and impact meet the prototype thresholds; human review is required."
