scenario_id,event_id,factor,variant_value,baseline_value,baseline_state,variant_state,state_changed,delta_t_hours,previous_state,E_t,A_t,I_t,M_t,U_t,C_t,rationale
ghost_logger,EVT-GL-072H,gamma_id,1.0,1.0,Report-Ready,Report-Ready,False,72.0,Report-Ready,0.85,1.0,0.75,1.0,0.0,False,"Applicability, exploitation evidence, and impact meet the prototype thresholds; human review is required."
ghost_logger,EVT-GL-072H,gamma_id,0.9,1.0,Report-Ready,Report-Ready,False,72.0,Report-Ready,0.85,1.0,0.75,1.0,0.05,False,"Applicability, exploitation evidence, and impact meet the prototype thresholds; human review is required."
ghost_logger,EVT-GL-072H,gamma_id,0.7,1.0,Report-Ready,Report-Ready,False,72.0,Report-Ready,0.85,1.0,0.75,1.0,0.15,False,"Applicability, exploitation evidence, and impact meet the prototype thresholds; human review is required."
ghost_logger,EVT-GL-072H,gamma_id,0.4,1.0,Report-Ready,Report-Ready,False,72.0,Report-Ready,0.85,1.0,0.75,1.0,0.3,False,"Applicability, exploitation evidence, and impact meet the prototype thresholds; human review is required."
ghost_logger,EVT-GL-072H,gamma_id,0.2,1.0,Report-Ready,Report-Ready,False,72.0,Report-Ready,0.85,1.0,0.75,1.0,0.4,False,"Applicability, exploitation evidence, and impact meet the prototype thresholds; human review is required."
ghost_logger,EVT-GL-072H,cisa_kev_status,false,true,Report-Ready,Monitor,True,72.0,Report-Ready,0.552,1.0,0.75,1.0,0.0,False,No higher-precedence transition rule is satisfied.
ghost_logger,EVT-GL-072H,cisa_kev_status,true,true,Report-Ready,Report-Ready,False,72.0,Report-Ready,0.85,1.0,0.75,1.0,0.0,False,"Applicability, exploitation evidence, and impact meet the prototype thresholds; human review is required."
ghost_logger,EVT-GL-072H,epss_percentile,0.0,0.92,Report-Ready,Report-Ready,False,72.0,Report-Ready,0.85,1.0,0.75,1.0,0.0,False,"Applicability, exploitation evidence, and impact meet the prototype thresholds; human review is required."
ghost_logger,EVT-GL-072H,epss_percentile,0.25,0.92,Report-Ready,Report-Ready,False,72.0,Report-Ready,0.85,1.0,0.75,1.0,0.0,False,"Applicability, exploitation evidence, and impact meet the prototype thresholds; human review is required."
ghost_logger,EVT-GL-072H,epss_percentile,0.5,0.92,Report-Ready,Report-Ready,False,72.0,Report-Ready,0.85,1.0,0.75,1.0,0.0,False,"Applicability, exploitation evidence, and impact meet the prototype thresholds; human review is required."
ghost_logger,EVT-GL-072H,epss_percentile,0.75,0.92,Report-Ready,Report-Ready,False,72.0,Report-Ready,0.85,1.0,0.75,1.0,0.0,False,"Applicability, exploitation evidence, and impact meet the prototype thresholds; human review is required."
ghost_logger,EVT-GL-072H,epss_percentile,1.0,0.92,Report-Ready,Report-Ready,False,72.0,Report-Ready,0.85,1.0,0.75,1.0,0.0,False,"Applicability, exploitation evidence, and impact meet the prototype thresholds; human review is required."
ghost_logger,EVT-GL-072H,csaf_vex_status,"""known_not_affected""","""known_not_affected""",Report-Ready,Report-Ready,False,72.0,Report-Ready,0.85,1.0,0.75,1.0,0.0,False,"Applicability, exploitation evidence, and impact meet the prototype thresholds; human review is required."
ghost_logger,EVT-GL-072H,csaf_vex_status,"""under_investigation""","""known_not_affected""",Report-Ready,Report-Ready,False,72.0,Report-Ready,0.85,1.0,0.75,1.0,0.0,False,"Applicability, exploitation evidence, and impact meet the prototype thresholds; human review is required."
ghost_logger,EVT-GL-072H,csaf_vex_status,"""known_affected""","""known_not_affected""",Report-Ready,Report-Ready,False,72.0,Report-Ready,0.85,1.0,0.75,1.0,0.0,False,"Applicability, exploitation evidence, and impact meet the prototype thresholds; human review is required."
ghost_logger,EVT-GL-072H,execution_observed,false,true,Report-Ready,Report-Ready,False,72.0,Report-Ready,0.85,1.0,0.75,1.0,0.0,False,"Applicability, exploitation evidence, and impact meet the prototype thresholds; human review is required."
ghost_logger,EVT-GL-072H,execution_observed,true,true,Report-Ready,Report-Ready,False,72.0,Report-Ready,0.85,1.0,0.75,1.0,0.0,False,"Applicability, exploitation evidence, and impact meet the prototype thresholds; human review is required."
ghost_logger,EVT-GL-072H,reachability_confirmed,false,true,Report-Ready,Report-Ready,False,72.0,Report-Ready,0.85,1.0,0.75,1.0,0.0,False,"Applicability, exploitation evidence, and impact meet the prototype thresholds; human review is required."
ghost_logger,EVT-GL-072H,reachability_confirmed,true,true,Report-Ready,Report-Ready,False,72.0,Report-Ready,0.85,1.0,0.75,1.0,0.0,False,"Applicability, exploitation evidence, and impact meet the prototype thresholds; human review is required."
ghost_logger,EVT-GL-072H,asset_criticality,"""low""","""critical""",Report-Ready,Monitor,True,72.0,Report-Ready,0.85,1.0,0.375,1.0,0.0,False,No higher-precedence transition rule is satisfied.
ghost_logger,EVT-GL-072H,asset_criticality,"""medium""","""critical""",Report-Ready,Monitor,True,72.0,Report-Ready,0.85,1.0,0.5,1.0,0.0,False,No higher-precedence transition rule is satisfied.
ghost_logger,EVT-GL-072H,asset_criticality,"""high""","""critical""",Report-Ready,Monitor,True,72.0,Report-Ready,0.85,1.0,0.625,1.0,0.0,False,No higher-precedence transition rule is satisfied.
ghost_logger,EVT-GL-072H,asset_criticality,"""critical""","""critical""",Report-Ready,Report-Ready,False,72.0,Report-Ready,0.85,1.0,0.75,1.0,0.0,False,"Applicability, exploitation evidence, and impact meet the prototype thresholds; human review is required."
ghost_logger,EVT-GL-072H,deployment_scope,"""isolated""","""limited""",Report-Ready,Monitor,True,72.0,Report-Ready,0.85,1.0,0.625,1.0,0.0,False,No higher-precedence transition rule is satisfied.
ghost_logger,EVT-GL-072H,deployment_scope,"""limited""","""limited""",Report-Ready,Report-Ready,False,72.0,Report-Ready,0.85,1.0,0.75,1.0,0.0,False,"Applicability, exploitation evidence, and impact meet the prototype thresholds; human review is required."
ghost_logger,EVT-GL-072H,deployment_scope,"""broad""","""limited""",Report-Ready,Report-Ready,False,72.0,Report-Ready,0.85,1.0,0.875,1.0,0.0,False,"Applicability, exploitation evidence, and impact meet the prototype thresholds; human review is required."
ghost_logger,EVT-GL-072H,deployment_scope,"""widespread""","""limited""",Report-Ready,Report-Ready,False,72.0,Report-Ready,0.85,1.0,1.0,1.0,0.0,False,"Applicability, exploitation evidence, and impact meet the prototype thresholds; human review is required."
ghost_logger,EVT-GL-072H,mitigation_status,"""none""","""verified""",Report-Ready,Report-Ready,False,72.0,Report-Ready,0.85,1.0,0.75,0.0,0.0,False,"Applicability, exploitation evidence, and impact meet the prototype thresholds; human review is required."
ghost_logger,EVT-GL-072H,mitigation_status,"""planned""","""verified""",Report-Ready,Report-Ready,False,72.0,Report-Ready,0.85,1.0,0.75,0.25,0.0,False,"Applicability, exploitation evidence, and impact meet the prototype thresholds; human review is required."
ghost_logger,EVT-GL-072H,mitigation_status,"""partial""","""verified""",Report-Ready,Report-Ready,False,72.0,Report-Ready,0.85,1.0,0.75,0.5,0.0,False,"Applicability, exploitation evidence, and impact meet the prototype thresholds; human review is required."
ghost_logger,EVT-GL-072H,mitigation_status,"""deployed""","""verified""",Report-Ready,Report-Ready,False,72.0,Report-Ready,0.85,1.0,0.75,0.75,0.0,False,"Applicability, exploitation evidence, and impact meet the prototype thresholds; human review is required."
ghost_logger,EVT-GL-072H,mitigation_status,"""verified""","""verified""",Report-Ready,Report-Ready,False,72.0,Report-Ready,0.85,1.0,0.75,1.0,0.0,False,"Applicability, exploitation evidence, and impact meet the prototype thresholds; human review is required."
ghost_logger,EVT-GL-072H,conflict,false,false,Report-Ready,Report-Ready,False,72.0,Report-Ready,0.85,1.0,0.75,1.0,0.0,False,"Applicability, exploitation evidence, and impact meet the prototype thresholds; human review is required."
ghost_logger,EVT-GL-072H,conflict,true,false,Report-Ready,Escalate,True,72.0,Report-Ready,0.85,1.0,0.75,1.0,0.0,True,Active evidence claims conflict; conflict precedence forces internal escalation.
ghost_logger,EVT-GL-072H,malicious_exploitation_observed,false,false,Report-Ready,Report-Ready,False,72.0,Report-Ready,0.85,1.0,0.75,1.0,0.0,False,"Applicability, exploitation evidence, and impact meet the prototype thresholds; human review is required."
ghost_logger,EVT-GL-072H,malicious_exploitation_observed,true,false,Report-Ready,Report-Ready,False,72.0,Report-Ready,1.0,1.0,0.75,1.0,0.0,False,"Applicability, exploitation evidence, and impact meet the prototype thresholds; human review is required."
ghost_logger,EVT-GL-072H,missing_telemetry_reference,false,false,Report-Ready,Report-Ready,False,72.0,Report-Ready,0.85,1.0,0.75,1.0,0.0,False,"Applicability, exploitation evidence, and impact meet the prototype thresholds; human review is required."
ghost_logger,EVT-GL-072H,missing_telemetry_reference,true,false,Report-Ready,Report-Ready,False,72.0,Report-Ready,0.85,1.0,0.75,1.0,0.044444,False,"Applicability, exploitation evidence, and impact meet the prototype thresholds; human review is required."
false_comfort,EVT-FC-072H,gamma_id,1.0,1.0,Report-Ready,Report-Ready,False,72.0,Report-Ready,0.85,1.0,0.75,1.0,0.0,False,"Applicability, exploitation evidence, and impact meet the prototype thresholds; human review is required."
false_comfort,EVT-FC-072H,gamma_id,0.9,1.0,Report-Ready,Report-Ready,False,72.0,Report-Ready,0.85,1.0,0.75,1.0,0.05,False,"Applicability, exploitation evidence, and impact meet the prototype thresholds; human review is required."
false_comfort,EVT-FC-072H,gamma_id,0.7,1.0,Report-Ready,Report-Ready,False,72.0,Report-Ready,0.85,1.0,0.75,1.0,0.15,False,"Applicability, exploitation evidence, and impact meet the prototype thresholds; human review is required."
false_comfort,EVT-FC-072H,gamma_id,0.4,1.0,Report-Ready,Report-Ready,False,72.0,Report-Ready,0.85,1.0,0.75,1.0,0.3,False,"Applicability, exploitation evidence, and impact meet the prototype thresholds; human review is required."
