mutant_id,family,target_file,target_symbol,description,rationale,replacement_count,replacement_sha256,baseline_test_count,strengthened_test_count
S63-AU-001,authorization,src/sbom_to_audit/model/authorization.py,HumanAuthorizationEvent.__post_init__,Allow a non-human actor to authorize a reporting state.,Tests the explicit human-authorization boundary.,1,3ef9c1711e16ec390f29190b05095762ec23d71cd42b4c9b2638967011b8bb71,1,0
S63-AU-002,authorization,src/sbom_to_audit/model/authorization.py,apply_human_authorization,Preserve the previous authorized state instead of applying the human event.,Tests that an explicit authorization event is actually applied.,1,eace09973732ed606c6fdfe204daabbdd60fcb97c959a89fe7281155be1d736b,1,0
S63-AU-003,authorization,src/sbom_to_audit/model/authorization.py,authorization_audit_event,Accept an empty recommended state in an authorization audit record.,Tests fail-closed audit-record construction.,1,32405c620c7908c78d55d85bf24b7fe9651ecb6c843c7419f9559bac72247535,1,1
S63-AU-004,authorization,src/sbom_to_audit/model/authorization.py,MilestoneSatisfactionEvidence.__post_init__,Stop requiring a milestone satisfaction reference.,Tests separation between authorization and evidenced completion or submission.,1,e06a79498ef9bf9cb151ae0d5ff030fc3deb41d0af4244815f5699463d046732,1,1
S63-CF-001,conflict,src/sbom_to_audit/model/conflict_engine.py,ACTIVE_CLAIM_STATUSES,Treat superseded evidence claims as active.,Tests conflict lifecycle filtering.,1,70ee7cfa13f621e9d4666b7c17946435a54d5f47eb2bffa725af01ab324857a2,1,0
S63-CF-002,conflict,src/sbom_to_audit/model/conflict_engine.py,detect_conflicts,Skip contradictory values and continue on equal values.,Tests the fundamental contradiction predicate.,1,40aea17d925b002a28e03f377fc0d43b753c9ecbb91543ebaf41b0737ed7bddf,1,0
S63-CF-003,conflict,src/sbom_to_audit/model/conflict_engine.py,detect_conflicts,Ignore scope disjointness when deciding whether claims conflict.,Tests scope-aware conflict precision.,1,e6dd4386e52bda6ddb722c6eb31bb226f21a45b7338044e9b733eea7f1b9ba42,1,0
S63-CF-004,conflict,src/sbom_to_audit/model/conflict_engine.py,detect_conflicts,Group claims that have no proposition.,Tests that incomplete claims cannot create synthetic conflicts.,1,b0743606dfd19ebb51b1a432f56313dbc25b2c16678f8db2d9dd4e15e74cb270,1,1
S63-ES-001,evidence_semantics,src/sbom_to_audit/model/scoring.py,exploitation_score,Treat vulnerable-function execution as confirmed exploitation evidence.,Tests the separation of applicability evidence from malicious exploitation evidence.,1,a7025cb0ab50a4972dc81c7c8e9687dd2e3aa058bdb87f8f9799be5f42132490,1,0
S63-ES-002,evidence_semantics,src/sbom_to_audit/model/scoring.py,uncertainty_score,Treat missing values as though they were explicit false values.,Tests missingness semantics in uncertainty computation.,1,791ea5f407dbd132c4138e82cae72803b5239266be332b7949a59e0444128a37,1,0
S63-ES-003,evidence_semantics,src/sbom_to_audit/model/scoring.py,applicability_score,Ignore the low-applicability effect of a supplier not-affected assertion.,Tests the registered supplier-assertion interpretation.,1,d7dcba405a648799e74ae57ca9eaa052d83cab1fa31f2fda5619841f91ab773e,1,0
S63-ID-001,identity_uncertainty,src/sbom_to_audit/model/identity.py,MATCH_CONFIDENCE,Give name-only matching the confidence of an exact PURL match.,Tests the locked identity-confidence mapping.,1,7766b6ce0d0762dd3523615603838b94094ca0b10492d3a2451091e874fbf8bb,1,0
S63-ID-002,identity_uncertainty,src/sbom_to_audit/model/identity.py,apply_identity_uncertainty,Subtract the identity-confidence penalty from uncertainty.,Tests the direction of the locked identity-uncertainty contribution.,1,2a30e482df67f364c9beb0c9cd6e2457b5c42db45dd49f0c571db9180fe0734c,1,0
S63-ID-003,identity_uncertainty,src/sbom_to_audit/model/identity.py,apply_identity_uncertainty,Accept identity confidence values above one.,Tests the bounded-confidence contract.,1,7b729b97fd81edc25d135ce5b4aecb5533c8d8c09883ff101dc4f9cdadb9ff98,1,1
S63-MT-001,metrics,src/sbom_to_audit/model/metrics.py,evidence_completeness,Divide Evidence Completeness by 33 instead of the locked 34 fields.,Tests the fixed EC denominator.,1,15f01f5c1fb09d7fdfd5c0a01bafac5250e24d5e0856e8f42fb54a0d7d6d33b2,2,0
S63-MT-002,metrics,src/sbom_to_audit/model/metrics.py,audit_reconstructability,Count an audit event as reconstructable when any required field is present.,Tests all-field audit reconstruction semantics.,1,8c3df9b077985b652d988fd94068a06c11cf8e82feede63bf578edda23cea70c,1,1
S63-MT-003,metrics,src/sbom_to_audit/model/metrics.py,evidence_pack_generation,Mark EvidencePack generation successful when only one required output exists.,Tests all-output generation semantics.,1,9dcee8bce3b67f13c108a897fc076052da7d4470e43037b786fb73a1506de752,1,1
S63-TD-001,temporal_decision,src/sbom_to_audit/model/state_machine.py,recommend_state,Disable active-conflict precedence.,Tests conflict-forced escalation.,1,37dedd33a7ba945324b0d88eb69fe361f422bcb8663120f09b177e92586eede7,1,0
S63-TD-002,temporal_decision,src/sbom_to_audit/model/state_machine.py,recommend_state,Miss the exact 18-hour Prepare-to-Escalate boundary.,Tests the inclusive internal clock safeguard.,1,b01b10a6fe46cba2d700cd549f0baa337822a5a43ac171def34a28a33e109e1e,1,0
S63-TD-003,temporal_decision,src/sbom_to_audit/model/state_machine.py,recommend_state,Permit Report-Ready when impact alone meets its threshold.,"Tests the conjunction across applicability, exploitation, and impact.",1,d9bc36a269df8c16005ebfedcaf7397fb1e7bde79a000a0d728b3d6abd74b342,1,1
S63-TD-004,temporal_decision,src/sbom_to_audit/model/state_machine.py,recommend_state,Permit Document No-Report under high uncertainty.,Tests the low-applicability and low-uncertainty conjunction.,1,9dfe1c5d5a4e621ced089ac27d9bb753c54d5f2df750a6c4d16ac43b7ecabc93,1,0
