scenario_id,title,classification,primary_mechanism,status,negative_control_status
ghost_logger,Silent Transitive / Ghost-Logger,controlled_fictional_scenario_real_format,transitive dependency; VEX/runtime conflict; authorization,PILOT,PLANNED
false_comfort,False Comfort,controlled_scenario_real_format,valid but stale or wrongly scoped supplier assertion,PILOT,PILOT
false_comfort_control,False Comfort — Scope-Matched Negative Control,controlled_fictional_scope_control_real_format,matched supplier scope with no local applicability evidence,PILOT_NEGATIVE_CONTROL,NOT_APPLICABLE
operational_outlier,Operational Outlier,controlled_scenario_real_format,critical deployment context and impact,PILOT,PILOT
operational_outlier_control,Operational Outlier — Counterfactual Lower-Impact Control,controlled_fictional_counterfactual_control_real_format,matched source evidence with only asset criticality and deployment scope lowered,PILOT_NEGATIVE_CONTROL,NOT_APPLICABLE
rapid_pivot,Rapid Pivot,controlled_scenario_real_format,uncertainty and clock-aware escalation,PILOT,PILOT
cve_2024_3400_public,Operation MidnightEclipse public chronology,historical_public_replay,publication-aware public evidence chronology and evidence-boundary enforcement,PILOT_VERIFICATION_CANDIDATE,NOT_APPLICABLE
rapid_pivot_control,Rapid Pivot — Early Resolution Control,controlled_fictional_temporal_control_real_format,matched evidence with uncertainty resolved before tau_E,PILOT_NEGATIVE_CONTROL,NOT_APPLICABLE
historical_cve_2024_3400_reference,Operation MidnightEclipse synthetic reference deployment,historical_reference_deployment,public chronology plus explicitly synthetic organisation-local context,PILOT_VERIFICATION_CANDIDATE,NOT_APPLICABLE
matched_controlled_scenario_suite,Matched Controlled Scenario Baseline Suite,evaluation_suite,controlled comparison of orchestration against a structured un-orchestrated PSIRT worksheet proxy,PILOT_BASELINE_NOT_FROZEN,INCLUDES_THREE_MATCHED_CONTROLS
